"sheet"	"distribution_type"	"var_ratio"	"n1"	"n2"	"pre_t"	"pre_w"	"pre_w_freq"	"pre_u"	"pre_u_freq"	"t"	"w"	"u"	"delta"	"sigma2"	"pre_t_freq"
"160"	5	"4"	2	30	100	100	60.42	48	100	44.29	100	100	100	5	5	7.71000000000001
"161"	5	"5"	1	10	10	100	96.14	6.97	100	13.85	99.99	99.98	100	5	5	79.18
"162"	5	"5"	1	30	30	100	20.65	1.01	100	87.27	100	100	100	5	5	11.72
"163"	5	"5"	1	10	30	100	53.91	3.38	100	66.68	100	99.99	100	5	5	29.94
"164"	5	"5"	1	30	10	100	52.78	3.32	100	66.62	100	100	100	5	5	30.06
"165"	5	"5"	1	30	100	0	0	0	100	100	100	100	100	5	5	0
"166"	5	"5"	2	10	10	99.99	95.44	13.4	100	13.88	99.98	99.97	100	5	5	72.72
"167"	5	"5"	2	30	30	100	19.27	5.09	100	87.18	100	100	100	5	5	7.72999999999999
"168"	5	"5"	2	10	30	100	57.34	1.68	100	66.71	100	99.97	100	5	5	31.61
"169"	5	"5"	2	30	10	100	43.8	15.67	100	66.71	100	100	100	5	5	17.62
"170"	5	"5"	2	30	100	0	0	0	100	100	100	100	100	5	5	0
"171"	5	"1_5"	1	10	10	100	98.06	13.63	100	7.24	100	100	100	5	5	79.13
"172"	5	"1_5"	1	30	30	100	58.7	9.24	100	64.13	100	100	100	5	5	26.63
"173"	5	"1_5"	1	10	30	100	61.13	6.4	100	63.79	100	100	100	5	5	29.81
"174"	5	"1_5"	1	30	10	100	96.05	14.34	100	7.3	100	100	100	5	5	78.36
"175"	5	"1_5"	1	30	100	0	0	0	100	100	100	100	100	5	5	0
"176"	5	"1_5"	2	10	10	100	98.23	9.99	100	7.19	100	99.99	100	5	5	82.82
"177"	5	"1_5"	2	30	30	100	39.03	8.45	100	64.03	100	100	100	5	5	27.52
"178"	5	"1_5"	2	10	30	100	58.26	0.67	100	64.31	100	100	100	5	5	35.02
"179"	5	"1_5"	2	30	10	100	94.02	33.8	100	7.28	100	100	100	5	5	58.92
"180"	5	"1_5"	2	30	100	0	0	0	100	100	100	100	100	5	5	0
